Number;Brand;Capacity;Year on Floppy;Last acces;Oldest file;Format;Content;Usable;Remarque
48;NONAME;1,4MB;;27/02/2002;26/02/2002;dos;cpp, dfm, h, obj, res;y;Projet calculette / Mastermind
49;NONAME;1,4MB;;13/09/2004;09/08/2003;dos;doc, h;y;Projet Matrix
50;NONAME;1,4MB;17/02/1997;26/02/1991;26/02/1991;dos;cpp, exe, h, tds, obj, bmp;y;Projet calculette
51;NONAME;1,4MB;17/02/1997;17/02/1997;04/01/1980;dos;"arj, pas, pyr, tpu, exe; txt";y;Projet pyramide ?
52;NONAME;1,4MB;;19/06/1993;29/07/1988;dos;pas, exe, tpu,lis, img, hlp;y;Demo, Bateau
53;NONAME;1,4MB;;;;;;n;Erreur affiche contenu, incohérence
54;NONAME;1,4MB;;29/04/1998;03/01/1989;dos;exe, pas, tpu, niv, com, tpl, chr, bgi, sys, bat;y;Gestion clavier ?
55;NONAME;1,4MB;;20/02/1995;05/01/1995;dos;tpu, dat, exe, doc, dat;y;Kalgol
56;NONAME;1,4MB;mai-95;09/05/1995;07/10/1994;dos;exe, pas, tpu, klg, doc, men, ttr chr, bgi, sys, bat, bak;y;Multiples projets
57;NONAME;1,4MB;;05/06/1997;05/01/1980;dos;pas, bak, pyr, tpu, img, txt, doc, bgi, ;y;Projet pyramide ?
58;NONAME;1,4MB;;02/06/1997;11/03/1993;dos;pas, pyr, tpu, exe, tp, txt, tpl, dsk;y;Projet trad Pyramide
59;NONAME;1,4MB;;10/03/1995;07/02/1995;dos;pas, txt, exe, tpu, ;y;Projet Kalgol
60;NONAME;1,4MB;;17/02/1997;17/02/1997;dos;pas, bak, pyr,txt, tpu, doc;y;Projet pyramide ?
61;NONAME;1,4MB;;19/05/1992;02/02/1988;dos;"chr,;bgi,mak,tpu,ipx, prg, img,exe,bat";y;Projet bateau ?
62;NONAME;1,4MB;;;;;;n;Pb montage
63;NONAME;1,4MB;;26/05/1995;21/01/1991;dos;kal, exe, txt, pas;y;Projet Kalgol
64;NONAME;1,4MB;;20/03/2097;07/03/1997;dos;bak, pyr, exe, pas, tpu;y;Projet inconnu + PB date
65;NONAME;1,4MB;;;;;;n;Pb montage
66;NONAME;1,4MB;;27/02/2002;26/02/2002;dos;cpp, h, txt, obj, tds;y;Projet Mastermind
67;NONAME;1,4MB;;26/02/1991;21/01/1991;dos;cpp, exe, h, tds, obj, bmp;y;projet
68;NONAME;1,4MB;1993;26/05/1993;02/02/1998;dos;img, ltm, bak, exe, pas, tpu, txt;y;Projet traduction langage
69;NONAME;1,4MB;1993;;;;;n;Plante le lecteur de disquette. Voyant allumé
70;NONAME;1,4MB;1995;26/05/1995;11/03/1993;dos;pas, doc, exe, txt, klg, bat;y;Projet Kalgol
71;NONAME;1,4MB;;03/03/1999;21/10/1994;dos;pas, doc, exe, txt, klg, bat;y;Projet Kalgol
72;NONAME;1,4MB;;11/03/2002;27/02/2002;dos;cpp, exe, h, obj, bmp, hlp, gid;y;Projet
73;NONAME;1,4MB;;08/05/1995;18/02/1995;;pas, exe, txt, klg, bat;y;Projet fractale, arbe, listes, chaine, donnees
74;NONAME;1,4MB;1993;;;;;n;
75;FUJI FILM;1,4MB;;02/06/1997;11/03/1993;;bak, pas, chr, bgi, img, exe, pyr, tpu, tpl;y;Projet Pyramide
76;FUJI FILM;1,4MB;1996-1997;17/02/1997;14/01/1997;;txt, tpu, bak, doc, pas, exe;y;Projet Pyramide
77;FUJI FILM;1,4MB;;01/06/2000;12/03/2000;;cpp, h, bak, osb, dsw, mrt, mbt, ide;y;Projet Fuzzy
